Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,938972069
com.ibm.icu_56.1.0.v201601250100,936908277
com.jcraft.jsch_0.1.54.v20170116-1932,934891337
com.sun.el_2.2.0.v201303151357,933842866
javax.annotation_1.2.0.v201602091430,928472292
javax.el_2.2.0.v201303151357,927313582
javax.inject_1.0.0.v20091030,926358010
javax.servlet_3.1.0.v201410161800,924006417
javax.servlet.jsp_2.2.0.v201112011158,925141881
javax.xml_1.3.4.v201005080400,922582453
org.apache.ant_1.9.6.v201510161327,921246333
org.apache.batik.css_1.7.0.v201011041433,920092337
org.apache.batik.util_1.7.0.v201011041433,917474838
org.apache.batik.util.gui_1.7.0.v200903091627,918810558
org.apache.commons.codec_1.6.0.v201305230611,914809280
org.apache.commons.fileupload_1.2.2.v20111214-1400,913576293
org.apache.commons.io_2.2.0.v201405211200,912336696
org.apache.commons.jxpath_1.3.0.v200911051830,910658616
org.apache.commons.logging_1.1.1.v201101211721,908374251
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,894616431
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,893117768
org.apache.jasper.glassfish_2.2.2.v201501141630,888809521
org.apache.lucene.analysis_3.5.0.v20120725-1805,887246430
org.apache.lucene.core_3.5.0.v20120725-1805,886218669
org.apache.mina.core_2.0.7.v201401071602,881931657
org.apache.sshd.core_0.7.0.v201303101611,875873008
org.easymock_2.4.0.v20090202-0900,874789956
org.eclipse.ant.core_3.4.100.v20160505-0642,873478764
org.eclipse.ant.launching_1.1.201.v20161115-1135,872214024
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,871183745
org.eclipse.ant.ui_3.6.201.v20161115-1135,868367498
org.eclipse.compare_3.7.1.v20170103-1805,861512800
org.eclipse.compare.core_3.6.0.v20160418-1534,867264233
org.eclipse.compare.examples_3.2.0.v20160323-1650,864798440
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,865817432
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,860470215
org.eclipse.core.contenttype_3.5.100.v20160418-1621,859283508
org.eclipse.core.databinding_1.6.0.v20160412-0910,849014775
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,858255242
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,856727406
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,850964637
org.eclipse.core.expressions_3.5.100.v20160418-1621,847857522
org.eclipse.core.externaltools_1.0.400.v20160509-1057,846821923
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,845531983
org.eclipse.core.filesystem_1.6.1.v20161113-2349,833917999
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,836595743
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,830975701
org.eclipse.core.net_1.3.0.v20160418-1534,823111460
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,819165501
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,818012601
org.eclipse.core.variables_3.3.0.v20160419-1720,817076976
org.eclipse.cvs_1.4.302.v20170301-0400,816443421
org.eclipse.debug.core_3.10.100.v20160419-1720,815050509
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,813901131
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,812794614
org.eclipse.debug.ui_3.11.202.v20161114-0338,805701098
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,804522630
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,802178165
org.eclipse.e4.core.di_1.6.1.v20160712-0927,798996726
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,800685596
