Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,928607087
com.ibm.icu_56.1.0.v201601250100,926241848
com.jcraft.jsch_0.1.54.v20170116-1932,918656611
com.sun.el_2.2.0.v201303151357,917192692
javax.annotation_1.2.0.v201602091430,916421420
javax.el_2.2.0.v201303151357,915725260
javax.inject_1.0.0.v20091030,914922881
javax.servlet_3.1.0.v201410161800,912612680
javax.servlet.jsp_2.2.0.v201112011158,913846166
javax.xml_1.3.4.v201005080400,911240492
org.apache.ant_1.9.6.v201510161327,909510072
org.apache.batik.css_1.7.0.v201011041433,908165533
org.apache.batik.util_1.7.0.v201011041433,906118722
org.apache.batik.util.gui_1.7.0.v200903091627,907081358
org.apache.commons.codec_1.6.0.v201305230611,904234429
org.apache.commons.fileupload_1.2.2.v20111214-1400,902867703
org.apache.commons.io_2.2.0.v201405211200,901491994
org.apache.commons.jxpath_1.3.0.v200911051830,899897948
org.apache.commons.logging_1.1.1.v201101211721,898961665
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,881916087
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,880497257
org.apache.jasper.glassfish_2.2.2.v201501141630,877214647
org.apache.lucene.analysis_3.5.0.v20120725-1805,875148060
org.apache.lucene.core_3.5.0.v20120725-1805,873739753
org.apache.mina.core_2.0.7.v201401071602,868952190
org.apache.sshd.core_0.7.0.v201303101611,863785100
org.easymock_2.4.0.v20090202-0900,862694278
org.eclipse.ant.core_3.4.100.v20160505-0642,861308975
org.eclipse.ant.launching_1.1.201.v20161115-1135,859532717
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,858140503
org.eclipse.ant.ui_3.6.201.v20161115-1135,855317203
org.eclipse.compare_3.7.1.v20170103-1805,848179192
org.eclipse.compare.core_3.6.0.v20160418-1534,854307641
org.eclipse.compare.examples_3.2.0.v20160323-1650,852447541
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,853287203
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,847008109
org.eclipse.core.contenttype_3.5.100.v20160418-1621,845870325
org.eclipse.core.databinding_1.6.0.v20160412-0910,834439136
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,844839973
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,842609476
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,841281448
org.eclipse.core.expressions_3.5.100.v20160418-1621,833437803
org.eclipse.core.externaltools_1.0.400.v20160509-1057,832420552
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,831258611
org.eclipse.core.filesystem_1.6.1.v20161113-2349,819545667
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,821871908
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,818613109
org.eclipse.core.net_1.3.0.v20160418-1534,815572711
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,812587924
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,811076259
org.eclipse.core.variables_3.3.0.v20160419-1720,810087713
org.eclipse.cvs_1.4.302.v20170301-0400,809561240
org.eclipse.debug.core_3.10.100.v20160419-1720,806398560
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,805072732
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,803880459
org.eclipse.debug.ui_3.11.202.v20161114-0338,798360380
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,797357282
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,795901686
org.eclipse.e4.core.di_1.6.1.v20160712-0927,793218763
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,794962681
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,794203670
org.eclipse.e4.core.services_2.0.100.v20160509-1032,792015638
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,791165079
org.eclipse.e4.tools_4.5.0.v20160503-0947,777408506
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,790380356
org.eclipse.e4.tools.emf.editor3x_4.5.0.v20160503-0947,-1
org.eclipse.e4.tools.emf.ui_4.5.100.v20170109-1815,-1
org.eclipse.e4.tools.jdt.templates_4.5.0.v20161220-1401,785207389
org.eclipse.e4.tools.services_4.5.0.v20160503-0947,783648119
org.eclipse.e4.ui.bindings_0.11.100.v20160509-1025,776181794
org.eclipse.e4.ui.css.core_0.12.1.v20161114-0210,774422774
org.eclipse.e4.ui.css.swt_0.12.100.v20160517-1505,772084475
org.eclipse.e4.ui.css.swt.theme_0.10.100.v20160523-0836,773460831
org.eclipse.e4.ui.di_1.1.100.v20160506-0759,771351104
org.eclipse.e4.ui.dialogs_1.1.0.v20151127-1218,770679529
org.eclipse.e4.ui.model.workbench_1.2.0.v20160229-1459,768947132
org.eclipse.e4.ui.services_1.2.100.v20160506-0759,767951466
org.eclipse.e4.ui.swt.gtk_1.0.100.v20160301-1001,-1
org.eclipse.e4.ui.widgets_1.1.100.v20160506-0759,766195454
org.eclipse.e4.ui.workbench_1.4.0.v20160517-1624,758400986
org.eclipse.e4.ui.workbench.addons.swt_1.2.101.v20170206-1129,765003199
org.eclipse.e4.ui.workbench.renderers.swt_0.14.1.v20170117-1415,762319541
org.eclipse.e4.ui.workbench.renderers.swt.cocoa_0.11.300.v20160330-1418,764286716
org.eclipse.e4.ui.workbench.swt_0.14.1.v20160829-0832,760703345
org.eclipse.e4.ui.workbench3_0.13.100.v20160506-0759,759782016
org.eclipse.ecf_3.8.0.v20160405-1820,744982409
org.eclipse.ecf.filetransfer_5.0.0.v20160405-1820,757247261
org.eclipse.ecf.identity_3.7.0.v20160405-1820,755722502
org.eclipse.ecf.provider.filetransfer_3.2.200.v20160405-1820,748978021
org.eclipse.ecf.provider.filetransfer.httpclient4_1.1.100.v20160405-1820,753741356
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl_1.1.0.v20160405-1820,754905464
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20160405-1820,752824030
org.eclipse.ecf.ssl_1.2.0.v20160405-1820,746412773
org.eclipse.emf.common_2.12.0.v20160420-0247,743552743
org.eclipse.emf.ecore_2.12.0.v20160420-0247,738784347
org.eclipse.emf.ecore.change_2.11.0.v20160420-0247,742592696
org.eclipse.emf.ecore.xmi_2.12.0.v20160420-0247,741505090
org.eclipse.equinox.app_1.3.400.v20150715-1528,737073393
org.eclipse.equinox.bidi_1.0.0.v20160307-1318,736106380
org.eclipse.equinox.cm_1.1.200.v20160324-1850,734990165
org.eclipse.equinox.common_3.8.0.v20160509-1230,-1
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442,731720788
org.eclipse.equinox.console_1.1.200.v20150929-1405,-1
org.eclipse.equinox.console.jaas.fragment_1.0.0.v20130327-1442,730724784
org.eclipse.equinox.console.ssh_1.0.100.v20131208-1728,729546884
