Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,951860634
com.ibm.icu_56.1.0.v201601250100,949816733
com.jcraft.jsch_0.1.54.v20170116-1932,947796746
com.sun.el_2.2.0.v201303151357,946302845
javax.annotation_1.2.0.v201602091430,945266236
javax.el_2.2.0.v201303151357,944398931
javax.inject_1.0.0.v20091030,943735199
javax.servlet_3.1.0.v201410161800,940954898
javax.servlet.jsp_2.2.0.v201112011158,942580933
javax.xml_1.3.4.v201005080400,938289133
org.apache.ant_1.9.6.v201510161327,936381277
org.apache.batik.css_1.7.0.v201011041433,934652395
org.apache.batik.util_1.7.0.v201011041433,931879524
org.apache.batik.util.gui_1.7.0.v200903091627,933216651
org.apache.commons.codec_1.6.0.v201305230611,929479378
org.apache.commons.fileupload_1.2.2.v20111214-1400,928145704
org.apache.commons.io_2.2.0.v201405211200,926996988
org.apache.commons.jxpath_1.3.0.v200911051830,925366750
org.apache.commons.logging_1.1.1.v201101211721,924379737
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,913840392
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,912355764
org.apache.jasper.glassfish_2.2.2.v201501141630,909107136
org.apache.lucene.analysis_3.5.0.v20120725-1805,907310583
org.apache.lucene.core_3.5.0.v20120725-1805,905953969
org.apache.mina.core_2.0.7.v201401071602,901473029
org.apache.sshd.core_0.7.0.v201303101611,897622429
org.easymock_2.4.0.v20090202-0900,896592210
org.eclipse.ant.core_3.4.100.v20160505-0642,895343092
org.eclipse.ant.launching_1.1.201.v20161115-1135,893888689
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,893000770
org.eclipse.ant.ui_3.6.201.v20161115-1135,890304050
org.eclipse.compare_3.7.1.v20170103-1805,882394573
org.eclipse.compare.core_3.6.0.v20160418-1534,888773878
org.eclipse.compare.examples_3.2.0.v20160323-1650,886418336
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,887304939
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,881259252
org.eclipse.core.contenttype_3.5.100.v20160418-1621,880143197
org.eclipse.core.databinding_1.6.0.v20160412-0910,873521202
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,878943110
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,876790221
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,875274068
org.eclipse.core.expressions_3.5.100.v20160418-1621,872314662
org.eclipse.core.externaltools_1.0.400.v20160509-1057,871137862
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,869906920
org.eclipse.core.filesystem_1.6.1.v20161113-2349,859337482
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,862144390
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,858172372
org.eclipse.core.net_1.3.0.v20160418-1534,853938734
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,849973217
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,848681729
org.eclipse.core.variables_3.3.0.v20160419-1720,847761495
org.eclipse.cvs_1.4.302.v20170301-0400,847076176
org.eclipse.debug.core_3.10.100.v20160419-1720,845462419
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,844210838
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,843026291
org.eclipse.debug.ui_3.11.202.v20161114-0338,837692047
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,836462947
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,835222645
org.eclipse.e4.core.di_1.6.1.v20160712-0927,832125888
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,833940260
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,833148610
org.eclipse.e4.core.services_2.0.100.v20160509-1032,829656302
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,828881632
org.eclipse.e4.tools_4.5.0.v20160503-0947,819071589
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,828051265
org.eclipse.e4.tools.emf.editor3x_4.5.0.v20160503-0947,-1
org.eclipse.e4.tools.emf.ui_4.5.100.v20170109-1815,-1
org.eclipse.e4.tools.jdt.templates_4.5.0.v20161220-1401,821370914
org.eclipse.e4.tools.services_4.5.0.v20160503-0947,820487581
org.eclipse.e4.ui.bindings_0.11.100.v20160509-1025,818010121
org.eclipse.e4.ui.css.core_0.12.1.v20161114-0210,816335904
org.eclipse.e4.ui.css.swt_0.12.100.v20160517-1505,813473470
org.eclipse.e4.ui.css.swt.theme_0.10.100.v20160523-0836,814993860
org.eclipse.e4.ui.di_1.1.100.v20160506-0759,812570387
