Bundle,State
org.eclipse.e4.ui.services_1.2.100.v20160506-0759,STARTING
org.eclipse.e4.ui.swt.gtk_1.0.100.v20160301-1001,INSTALLED
org.eclipse.e4.ui.widgets_1.1.100.v20160506-0759,RESOLVED
org.eclipse.e4.ui.workbench_1.4.0.v20160517-1624,STARTING
org.eclipse.e4.ui.workbench.addons.swt_1.2.101.v20170206-1129,STARTING
org.eclipse.e4.ui.workbench.renderers.swt_0.14.1.v20170117-1415,STARTING
org.eclipse.e4.ui.workbench.renderers.swt.cocoa_0.11.300.v20160330-1418,RESOLVED
org.eclipse.e4.ui.workbench.swt_0.14.1.v20160829-0832,STARTING
org.eclipse.e4.ui.workbench3_0.13.100.v20160506-0759,RESOLVED
org.eclipse.ecf_3.8.0.v20160405-1820,STARTING
org.eclipse.ecf.filetransfer_5.0.0.v20160405-1820,STARTING
org.eclipse.ecf.identity_3.7.0.v20160405-1820,STARTING
org.eclipse.ecf.provider.filetransfer_3.2.200.v20160405-1820,STARTING
org.eclipse.ecf.provider.filetransfer.httpclient4_1.1.100.v20160405-1820,STARTING
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl_1.1.0.v20160405-1820,RESOLVED
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20160405-1820,RESOLVED
org.eclipse.ecf.ssl_1.2.0.v20160405-1820,RESOLVED
org.eclipse.emf.common_2.12.0.v20160420-0247,STARTING
org.eclipse.emf.ecore_2.12.0.v20160420-0247,STARTING
org.eclipse.emf.ecore.change_2.11.0.v20160420-0247,STARTING
org.eclipse.emf.ecore.xmi_2.12.0.v20160420-0247,STARTING
org.eclipse.equinox.app_1.3.400.v20150715-1528,STARTING
org.eclipse.equinox.bidi_1.0.0.v20160307-1318,STARTING
org.eclipse.equinox.cm_1.1.200.v20160324-1850,RESOLVED
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442,STARTING
org.eclipse.equinox.console.jaas.fragment_1.0.0.v20130327-1442,RESOLVED
org.eclipse.equinox.console.ssh_1.0.100.v20131208-1728,STARTING
org.eclipse.equinox.coordinator_1.3.200.v20160325-1323,RESOLVED
org.eclipse.equinox.device_1.0.400.v20130327-1442,RESOLVED
org.eclipse.equinox.ds_1.4.400.v20160226-2036,RESOLVED
org.eclipse.equinox.event_1.3.200.v20160324-1850,STARTING
org.eclipse.equinox.frameworkadmin_2.0.300.v20160504-1450,STARTING
org.eclipse.equinox.frameworkadmin.equinox_1.0.700.v20160102-2223,STARTING
org.eclipse.equinox.frameworkadmin.test_1.1.100.v20150430-1836,STARTING
org.eclipse.equinox.http.jetty_3.3.0.v20160324-1850,STARTING
org.eclipse.equinox.http.registry_1.1.400.v20150715-1528,RESOLVED
org.eclipse.equinox.http.servlet_1.3.1.v20160808-1329,STARTING
org.eclipse.equinox.http.servletbridge_1.0.300.v20130327-1442,RESOLVED
org.eclipse.equinox.io_1.1.100.v20150430-1834,RESOLVED
org.eclipse.equinox.ip_1.1.300.v20130327-1442,RESOLVED
org.eclipse.equinox.jsp.jasper_1.0.500.v20150119-1358,STARTING
org.eclipse.equinox.jsp.jasper.registry_1.0.300.v20130327-1442,STARTING
org.eclipse.equinox.launcher_1.3.201.v20161025-1711,RESOLVED
org.eclipse.equinox.launcher.cocoa.macosx.x86_64_1.1.401.v20161122-1740,RESOLVED
org.eclipse.equinox.launcher.gtk.aix.ppc_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.aix.ppc64_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.hpux.ia64_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.linux.ppc_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.linux.ppc64_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.linux.ppc64le_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.linux.s390_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.linux.s390x_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.linux.x86_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.linux.x86_64_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.solaris.sparcv9_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.gtk.solaris.x86_64_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.win32.win32.x86_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.launcher.win32.win32.x86_64_1.1.401.v20161122-1740,INSTALLED
org.eclipse.equinox.metatype_1.4.200.v20160324-1850,RESOLVED
org.eclipse.equinox.p2.artifact.repository_1.1.500.v20160419-0834,STARTING
org.eclipse.equinox.p2.console_1.0.500.v20160504-1450,STARTING
org.eclipse.equinox.p2.core_2.4.100.v20160419-0834,STARTING
org.eclipse.equinox.p2.director_2.3.300.v20160504-1450,STARTING
org.eclipse.equinox.p2.director.app_1.0.500.v20160419-0834,STARTING
org.eclipse.equinox.p2.directorywatcher_1.1.100.v20150423-1455,STARTING
org.eclipse.equinox.p2.discovery_1.0.400.v20160504-1450,RESOLVED
org.eclipse.equinox.p2.discovery.compatibility_1.0.200.v20131211-1531,STARTING
org.eclipse.equinox.p2.engine_2.4.100.v20160419-0834,STARTING
org.eclipse.equinox.p2.extensionlocation_1.2.300.v20160419-0834,STARTING
org.eclipse.equinox.p2.garbagecollector_1.0.300.v20160504-1450,STARTING
org.eclipse.equinox.p2.installer_1.0.500.v20160419-0100,STARTING
org.eclipse.equinox.p2.jarprocessor_1.0.500.v20160504-1450,RESOLVED
org.eclipse.equinox.p2.metadata_2.3.100.v20160427-2220,STARTING
org.eclipse.equinox.p2.metadata.repository_1.2.300.v20160419-0834,STARTING
org.eclipse.equinox.p2.operations_2.4.200.v20160504-1450,STARTING
org.eclipse.equinox.p2.publisher_1.4.100.v20160504-1450,STARTING
org.eclipse.equinox.p2.publisher.eclipse_1.2.100.v20160504-1450,STARTING
org.eclipse.equinox.p2.reconciler.dropins_1.1.400.v20160504-1450,RESOLVED
org.eclipse.equinox.p2.repository_2.3.200.v20160421-0324,STARTING
org.eclipse.equinox.p2.repository.tools_2.1.300.v20160421-0324,STARTING
org.eclipse.equinox.p2.touchpoint.eclipse_2.1.400.v20160419-0834,STARTING
org.eclipse.equinox.p2.touchpoint.natives_1.2.100.v20160419-0834,STARTING
org.eclipse.equinox.p2.transport.ecf_1.1.201.v20161115-1927,STARTING
org.eclipse.equinox.p2.ui_2.4.100.v20160419-0834,STARTING
