Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,825174797
com.ibm.icu_56.1.0.v201601250100,823450522
com.jcraft.jsch_0.1.54.v20170116-1932,822162130
com.sun.el_2.2.0.v201303151357,820758670
javax.annotation_1.2.0.v201602091430,819543893
javax.el_2.2.0.v201303151357,817453070
javax.inject_1.0.0.v20091030,816581552
javax.servlet_3.1.0.v201410161800,809802350
javax.servlet.jsp_2.2.0.v201112011158,811641050
javax.xml_1.3.4.v201005080400,808202576
org.apache.ant_1.9.6.v201510161327,807181216
org.apache.batik.css_1.7.0.v201011041433,806390540
org.apache.batik.util_1.7.0.v201011041433,805195072
org.apache.batik.util.gui_1.7.0.v200903091627,805803126
org.apache.commons.codec_1.6.0.v201305230611,802976409
org.apache.commons.fileupload_1.2.2.v20111214-1400,801813042
org.apache.commons.io_2.2.0.v201405211200,800804739
org.apache.commons.jxpath_1.3.0.v200911051830,799543512
org.apache.commons.logging_1.1.1.v201101211721,798472782
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,788433019
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,786938062
org.apache.jasper.glassfish_2.2.2.v201501141630,783748305
org.apache.lucene.analysis_3.5.0.v20120725-1805,782211493
org.apache.lucene.core_3.5.0.v20120725-1805,781156727
org.apache.mina.core_2.0.7.v201401071602,775809156
org.apache.sshd.core_0.7.0.v201303101611,773212199
org.easymock_2.4.0.v20090202-0900,771937946
org.eclipse.ant.core_3.4.100.v20160505-0642,770722090
org.eclipse.ant.launching_1.1.201.v20161115-1135,769323291
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,768302160
org.eclipse.ant.ui_3.6.201.v20161115-1135,762819303
org.eclipse.compare_3.7.1.v20170103-1805,754416779
org.eclipse.compare.core_3.6.0.v20160418-1534,759688043
org.eclipse.compare.examples_3.2.0.v20160323-1650,757768123
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,758609392
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,753293372
org.eclipse.core.contenttype_3.5.100.v20160418-1621,752890334
org.eclipse.core.databinding_1.6.0.v20160412-0910,746571924
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,751794322
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,750195787
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,749009485
org.eclipse.core.expressions_3.5.100.v20160418-1621,745526661
org.eclipse.core.externaltools_1.0.400.v20160509-1057,744539224
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,743251350
org.eclipse.core.filesystem_1.6.1.v20161113-2349,727548676
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,729248536
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,726749717
org.eclipse.core.net_1.3.0.v20160418-1534,722775667
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,718951558
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,717927114
org.eclipse.core.variables_3.3.0.v20160419-1720,717179917
org.eclipse.cvs_1.4.302.v20170301-0400,716314944
org.eclipse.debug.core_3.10.100.v20160419-1720,713979706
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,712802994
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,709597492
org.eclipse.debug.ui_3.11.202.v20161114-0338,705589421
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,705038009
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,704551912
org.eclipse.e4.core.di_1.6.1.v20160712-0927,703073953
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,704015312
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,703542707
org.eclipse.e4.core.services_2.0.100.v20160509-1032,702458332
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,702021229
org.eclipse.e4.tools_4.5.0.v20160503-0947,696250544
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,701448559
org.eclipse.e4.tools.emf.editor3x_4.5.0.v20160503-0947,-1
org.eclipse.e4.tools.emf.ui_4.5.100.v20170109-1815,-1
org.eclipse.e4.tools.jdt.templates_4.5.0.v20161220-1401,697873709
org.eclipse.e4.tools.services_4.5.0.v20160503-0947,697335965
org.eclipse.e4.ui.bindings_0.11.100.v20160509-1025,695341954
org.eclipse.e4.ui.css.core_0.12.1.v20161114-0210,694213740
org.eclipse.e4.ui.css.swt_0.12.100.v20160517-1505,691926623
org.eclipse.e4.ui.css.swt.theme_0.10.100.v20160523-0836,693285548
org.eclipse.e4.ui.di_1.1.100.v20160506-0759,691079916
org.eclipse.e4.ui.dialogs_1.1.0.v20151127-1218,690256131
org.eclipse.e4.ui.model.workbench_1.2.0.v20160229-1459,689944270
org.eclipse.e4.ui.services_1.2.100.v20160506-0759,689171280
org.eclipse.e4.ui.swt.gtk_1.0.100.v20160301-1001,-1
org.eclipse.e4.ui.widgets_1.1.100.v20160506-0759,687481246
org.eclipse.e4.ui.workbench_1.4.0.v20160517-1624,680351032
org.eclipse.e4.ui.workbench.addons.swt_1.2.101.v20170206-1129,686274917
org.eclipse.e4.ui.workbench.renderers.swt_0.14.1.v20170117-1415,683866223
org.eclipse.e4.ui.workbench.renderers.swt.cocoa_0.11.300.v20160330-1418,685286975
org.eclipse.e4.ui.workbench.swt_0.14.1.v20160829-0832,682338011
org.eclipse.e4.ui.workbench3_0.13.100.v20160506-0759,681414630
org.eclipse.ecf_3.8.0.v20160405-1820,673237169
org.eclipse.ecf.filetransfer_5.0.0.v20160405-1820,678885840
org.eclipse.ecf.identity_3.7.0.v20160405-1820,677817866
org.eclipse.ecf.provider.filetransfer_3.2.200.v20160405-1820,674646170
org.eclipse.ecf.provider.filetransfer.httpclient4_1.1.100.v20160405-1820,676072487
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl_1.1.0.v20160405-1820,677050642
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20160405-1820,675436156
