Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,806348521
com.ibm.icu_56.1.0.v201601250100,804104093
com.jcraft.jsch_0.1.54.v20170116-1932,802592605
com.sun.el_2.2.0.v201303151357,801498564
javax.annotation_1.2.0.v201602091430,800391300
javax.el_2.2.0.v201303151357,799370965
javax.inject_1.0.0.v20091030,798589907
javax.servlet_3.1.0.v201410161800,795167589
javax.servlet.jsp_2.2.0.v201112011158,796830404
javax.xml_1.3.4.v201005080400,793450494
org.apache.ant_1.9.6.v201510161327,792273520
org.apache.batik.css_1.7.0.v201011041433,791256901
org.apache.batik.util_1.7.0.v201011041433,789210106
org.apache.batik.util.gui_1.7.0.v200903091627,790297513
org.apache.commons.codec_1.6.0.v201305230611,787013008
org.apache.commons.fileupload_1.2.2.v20111214-1400,785652169
org.apache.commons.io_2.2.0.v201405211200,784547417
org.apache.commons.jxpath_1.3.0.v200911051830,783186719
org.apache.commons.logging_1.1.1.v201101211721,782032101
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,769497657
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,768184623
org.apache.jasper.glassfish_2.2.2.v201501141630,764815201
org.apache.lucene.analysis_3.5.0.v20120725-1805,763743525
org.apache.lucene.core_3.5.0.v20120725-1805,762678043
org.apache.mina.core_2.0.7.v201401071602,757721300
org.apache.sshd.core_0.7.0.v201303101611,755371238
org.easymock_2.4.0.v20090202-0900,754379145
org.eclipse.ant.core_3.4.100.v20160505-0642,753144052
org.eclipse.ant.launching_1.1.201.v20161115-1135,751795195
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,750768245
org.eclipse.ant.ui_3.6.201.v20161115-1135,747629892
org.eclipse.compare_3.7.1.v20170103-1805,738616098
org.eclipse.compare.core_3.6.0.v20160418-1534,744700687
org.eclipse.compare.examples_3.2.0.v20160323-1650,742500551
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,743437517
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,737414855
org.eclipse.core.contenttype_3.5.100.v20160418-1621,736118858
org.eclipse.core.databinding_1.6.0.v20160412-0910,730501432
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,734896526
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,733154472
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,731946204
org.eclipse.core.expressions_3.5.100.v20160418-1621,729254299
org.eclipse.core.externaltools_1.0.400.v20160509-1057,728301694
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,724976484
org.eclipse.core.filesystem_1.6.1.v20161113-2349,713086721
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,715932040
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,711911645
org.eclipse.core.net_1.3.0.v20160418-1534,707817280
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,704116753
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,702941177
org.eclipse.core.variables_3.3.0.v20160419-1720,702058365
