Bundle,Classpath Size
org.eclipse.e4.core.di_1.6.1.v20160712-0927,100
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,11
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,119
org.eclipse.e4.core.services_2.0.100.v20160509-1032,225
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,1006
org.eclipse.e4.tools_4.5.0.v20160503-0947,11665
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,1145
org.eclipse.e4.tools.jdt.templates_4.5.0.v20161220-1401,8258
org.eclipse.e4.tools.services_4.5.0.v20160503-0947,1702
org.eclipse.e4.ui.bindings_0.11.100.v20160509-1025,1200
org.eclipse.e4.ui.css.core_0.12.1.v20161114-0210,1225
org.eclipse.e4.ui.css.swt_0.12.100.v20160517-1505,2331
org.eclipse.e4.ui.css.swt.theme_0.10.100.v20160523-0836,2329
org.eclipse.e4.ui.di_1.1.100.v20160506-0759,166
org.eclipse.e4.ui.dialogs_1.1.0.v20151127-1218,3724
org.eclipse.e4.ui.model.workbench_1.2.0.v20160229-1459,1175
org.eclipse.e4.ui.services_1.2.100.v20160506-0759,789
org.eclipse.e4.ui.widgets_1.1.100.v20160506-0759,984
org.eclipse.e4.ui.workbench_1.4.0.v20160517-1624,2658
org.eclipse.e4.ui.workbench.addons.swt_1.2.101.v20170206-1129,3517
org.eclipse.e4.ui.workbench.renderers.swt_0.14.1.v20170117-1415,4395
org.eclipse.e4.ui.workbench.renderers.swt.cocoa_0.11.300.v20160330-1418,0
org.eclipse.e4.ui.workbench.swt_0.14.1.v20160829-0832,4463
org.eclipse.e4.ui.workbench3_0.13.100.v20160506-0759,1141
org.eclipse.ecf_3.8.0.v20160405-1820,385
org.eclipse.ecf.filetransfer_5.0.0.v20160405-1820,434
org.eclipse.ecf.identity_3.7.0.v20160405-1820,263
org.eclipse.ecf.provider.filetransfer_3.2.200.v20160405-1820,509
org.eclipse.ecf.provider.filetransfer.httpclient4_1.1.100.v20160405-1820,836
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl_1.1.0.v20160405-1820,0
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20160405-1820,0
org.eclipse.ecf.ssl_1.2.0.v20160405-1820,0
org.eclipse.emf.common_2.12.0.v20160420-0247,1225
org.eclipse.emf.ecore_2.12.0.v20160420-0247,2189
