Bundle,Classpath Size
org.eclipse.equinox.p2.touchpoint.natives_1.2.100.v20160419-0834,339
org.eclipse.equinox.p2.transport.ecf_1.1.201.v20161115-1927,311
org.eclipse.equinox.p2.ui_2.4.100.v20160419-0834,1232
org.eclipse.equinox.p2.ui.admin_1.0.200.v20150430-1836,3814
org.eclipse.equinox.p2.ui.admin.rcp_1.0.200.v20150220-1741,8
org.eclipse.equinox.p2.ui.discovery_1.0.201.v20160901-1335,1586
org.eclipse.equinox.p2.ui.importexport_1.1.200.v20160521-1138,683
org.eclipse.equinox.p2.ui.sdk_1.0.400.v20150423-1455,466
org.eclipse.equinox.p2.ui.sdk.scheduler_1.3.0.v20161124-1529,909
org.eclipse.equinox.p2.updatechecker_1.1.300.v20161124-1529,168
org.eclipse.equinox.p2.updatesite_1.0.600.v20160504-1450,475
org.eclipse.equinox.preferences_3.6.1.v20160815-1406,305
org.eclipse.equinox.region_1.3.2.v20170118-1930,0
org.eclipse.equinox.registry_3.6.100.v20160223-2218,281
org.eclipse.equinox.security_1.2.200.v20150715-1528,241
org.eclipse.equinox.security.macosx_1.100.200.v20130327-1442,0
org.eclipse.equinox.security.ui_1.1.300.v20150803-1225,293
org.eclipse.equinox.servletbridge_1.3.200.v20160128-1435,82
org.eclipse.equinox.simpleconfigurator_1.1.200.v20160504-1450,107
org.eclipse.equinox.simpleconfigurator.manipulator_2.0.200.v20160504-1450,158
org.eclipse.equinox.supplement_1.6.100.v20160504-1419,149
org.eclipse.equinox.transforms.hook_1.1.0.v20131021-1933,0
org.eclipse.equinox.transforms.xslt_1.0.300.v20130327-1442,69
org.eclipse.equinox.useradmin_1.1.400.v20130327-1442,135
org.eclipse.equinox.util_1.0.500.v20130404-1337,119
org.eclipse.equinox.weaving.caching_1.0.400.v20140529-1734,72
org.eclipse.equinox.weaving.caching.j9_1.0.200.v20140529-1734,64
org.eclipse.equinox.weaving.hook_1.1.200.v20150730-1648,0
org.eclipse.equinox.wireadmin_1.0.600.v20150715-1528,115
org.eclipse.help_3.7.0.v20160602-1307,694
org.eclipse.help.base_4.1.2.v20170301-0400,1914
org.eclipse.help.ui_4.0.200.v20160510-0758,1141
org.eclipse.help.webapp_3.8.0.v20160504-0839,929
org.eclipse.jdt_3.12.3.v20170301-0400,314
org.eclipse.jdt.annotation_2.1.0.v20160418-1457,6
org.eclipse.jdt.apt.core_3.4.100.v20160525-0952,982
org.eclipse.jdt.apt.pluggable.core_1.1.100.v20160418-1457,1002
org.eclipse.jdt.apt.ui_3.4.100.v20160418-1457,930
org.eclipse.jdt.compiler.apt_1.2.100.v20160418-1457,0
org.eclipse.jdt.compiler.tool_1.1.100.v20160418-1457,0
org.eclipse.jdt.core_3.12.3.v20170228-1205,2087
org.eclipse.jdt.core.compiler.batch_3.12.3.v20170228-1205,599
org.eclipse.jdt.core.manipulation_1.7.0.v20160419-0705,944
org.eclipse.jdt.debug_3.10.1.v20160811-0441,1028
org.eclipse.jdt.debug.ui_3.7.201.v20160811-0450,5554
org.eclipse.jdt.junit_3.9.0.v20160421-1701,3895
org.eclipse.jdt.junit.core_3.8.0.v20160421-1701,487
org.eclipse.jdt.junit.runtime_3.4.600.v20160505-0715,59
org.eclipse.jdt.junit4.runtime_1.1.600.v20160505-0715,125
org.eclipse.jdt.launching_3.8.101.v20161111-2014,1612
org.eclipse.jdt.launching.macosx_3.3.0.v20160418-1524,164
org.eclipse.jdt.launching.ui.macosx_1.1.0.v20160418-1524,509
org.eclipse.jdt.ui_3.12.2.v20160929-0804,9311
org.eclipse.jetty.continuation_9.3.9.v20160517,52
org.eclipse.jetty.http_9.3.9.v20160517,255
org.eclipse.jetty.io_9.3.9.v20160517,270
org.eclipse.jetty.security_9.3.9.v20160517,593
org.eclipse.jetty.server_9.3.9.v20160517,659
org.eclipse.jetty.servlet_9.3.9.v20160517,695
org.eclipse.jetty.util_9.3.9.v20160517,335
org.eclipse.jface_3.12.2.v20170113-2113,1195
org.eclipse.jface.databinding_1.8.1.v20161026-1531,1299
org.eclipse.jface.examples.databinding_1.0.300.v20160517-0715,1486
org.eclipse.jface.text_3.11.2.v20170220-1911,2392
org.eclipse.jsch.core_1.3.0.v20160422-1917,210
org.eclipse.jsch.ui_1.3.0.v20160323-1650,259
org.eclipse.ltk.core.refactoring_3.7.0.v20160419-0705,1076
org.eclipse.ltk.ui.refactoring_3.8.0.v20160518-1817,1805
org.eclipse.osgi.compatibility.plugins_1.0.0.v20131023-1243,0
org.eclipse.osgi.compatibility.state_1.0.200.v20160504-1419,0
org.eclipse.osgi.services_3.5.100.v20160504-1419,238
org.eclipse.osgi.util_3.3.100.v20150423-1351,59
org.eclipse.pde_3.12.3.v20170301-0400,0
org.eclipse.pde.api.tools_1.1.2.v20161115-0549,2697
org.eclipse.pde.api.tools.annotations_1.0.100.v20160418-1724,5
org.eclipse.pde.api.tools.ee.cdcfoundation10_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.cdcfoundation11_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se12_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se13_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se14_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se15_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.javase16_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.javase17_1.0.100.v20130327-1631,0
org.eclipse.pde.api.tools.ee.javase18_1.0.0.v20160419-1303,0
org.eclipse.pde.api.tools.ee.jre11_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.osgiminimum12_1.0.300.v20130327-1631,0
org.eclipse.pde.api.tools.ui_1.1.0.v20160519-0701,3234
org.eclipse.pde.build_3.9.200.v20160204-0642,1224
org.eclipse.pde.core_3.11.1.v20161115-1951,1550
org.eclipse.pde.ds.annotations_1.0.0.v20160525-1437,812
org.eclipse.pde.ds.core_1.1.0.v20151201-1325,392
org.eclipse.pde.ds.ui_1.1.0.v20160518-1843,2353
org.eclipse.pde.junit.runtime_3.5.0.v20151013-0625,125
org.eclipse.pde.launching_3.6.401.v20161115-0549,633
org.eclipse.pde.runtime_3.5.0.v20160418-1724,1106
org.eclipse.pde.tools.versioning_1.0.200.v20140518-1929,398
org.eclipse.pde.ua.core_1.0.500.v20160204-0642,538
org.eclipse.pde.ua.ui_1.1.0.v20160518-1843,2601
org.eclipse.pde.ui_3.9.100.v20161102-0517,8191
org.eclipse.pde.ui.templates_3.6.0.v20160424-1948,541
org.eclipse.platform_4.6.3.v20170301-0400,3
org.eclipse.rcp_4.6.3.v20170301-0400,0
org.eclipse.releng.tools_3.9.0.v20160416-2220,3249
org.eclipse.sdk_4.6.3.v20170301-0400,0
org.eclipse.sdk.examples_3.5.600.v20170301-0400,0
org.eclipse.search_3.11.1.v20161113-1700,2521
